iter	Passed	Remaining
0	1	102
1	1	89
2	2	82
3	3	82
4	4	80
5	5	78
6	5	76
7	6	75
8	7	75
9	8	74
10	9	74
11	10	73
12	10	71
13	11	70
14	12	69
15	12	67
16	13	66
17	14	65
18	15	64
19	15	63
20	16	62
21	17	61
22	18	61
23	18	60
24	19	59
25	20	58
26	21	57
27	21	56
28	22	55
29	23	54
30	24	53
31	25	53
32	25	52
33	26	51
34	27	50
35	28	50
36	28	49
37	29	48
38	30	47
39	31	47
40	32	46
41	32	45
42	33	44
43	34	43
44	34	42
45	35	42
46	36	41
47	37	40
48	38	39
49	38	38
50	39	38
51	40	37
52	41	36
53	42	35
54	42	35
55	43	34
56	44	33
57	45	32
58	45	31
59	46	31
60	47	30
61	48	29
62	49	28
63	49	28
64	50	27
65	51	26
66	52	25
67	53	25
68	54	24
69	54	23
70	55	22
71	56	21
72	57	21
73	58	20
74	58	19
75	59	18
76	60	18
77	61	17
78	61	16
79	62	15
80	63	14
81	64	14
82	65	13
83	66	12
84	66	11
85	67	11
86	68	10
87	69	9
88	70	8
89	71	7
90	71	7
91	72	6
92	73	5
93	74	4
94	74	3
95	75	3
96	76	2
97	77	1
98	77	0
99	78	0
